127.0.0.1 - - [14/Apr/2015:15:16:27 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/Apr/2015:15:16:33 +0530] "GET /test/1.htm HTTP/1.1" 200 3824
0:0:0:0:0:0:0:1 - - [14/Apr/2015:15:16:34 +0530] "GET /test/css/bootstrap.min.css HTTP/1.1" 200 117305
0:0:0:0:0:0:0:1 - - [14/Apr/2015:15:16:34 +0530] "GET /test/login.css HTTP/1.1" 200 2861
0:0:0:0:0:0:0:1 - - [14/Apr/2015:15:16:34 +0530] "GET /test/js/bootstrap.min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [14/Apr/2015:15:16:34 +0530] "GET /test/login.js HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [14/Apr/2015:15:16:35 +0530] "GET /test/vote.jpg HTTP/1.1" 200 231213
0:0:0:0:0:0:0:1 - - [14/Apr/2015:15:18:47 +0530] "GET /test/Login.jsp HTTP/1.1" 200 3824
0:0:0:0:0:0:0:1 - - [14/Apr/2015:15:21:07 +0530] "GET /test/1.htm HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [14/Apr/2015:15:21:22 +0530] "GET /test/Login.jsp HTTP/1.1" 200 3838
0:0:0:0:0:0:0:1 - - [14/Apr/2015:15:21:22 +0530] "GET /test/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2015:15:21:22 +0530] "GET /test/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2015:15:21:22 +0530] "GET /test/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2015:15:21:22 +0530] "GET /test/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2015:15:21:22 +0530] "GET /test/vote.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2015:15:23:45 +0530] "GET /test/Login.jsp HTTP/1.1" 200 3840
0:0:0:0:0:0:0:1 - - [14/Apr/2015:15:23:45 +0530] "GET /test/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2015:15:23:45 +0530] "GET /test/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2015:15:23:45 +0530] "GET /test/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2015:15:23:45 +0530] "GET /test/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2015:15:23:45 +0530] "GET /test/vote.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2015:15:23:46 +0530] "GET /test/Login.jsp HTTP/1.1" 200 3840
0:0:0:0:0:0:0:1 - - [14/Apr/2015:15:23:46 +0530] "GET /test/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2015:15:23:46 +0530] "GET /test/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2015:15:23:46 +0530] "GET /test/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2015:15:23:46 +0530] "GET /test/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2015:15:23:46 +0530] "GET /test/vote.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2015:15:23:50 +0530] "GET /test/Login.jsp HTTP/1.1" 200 3840
0:0:0:0:0:0:0:1 - - [14/Apr/2015:15:23:50 +0530] "GET /test/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2015:15:23:50 +0530] "GET /test/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2015:15:23:50 +0530] "GET /test/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2015:15:23:50 +0530] "GET /test/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2015:15:23:50 +0530] "GET /test/vote.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Apr/2015:15:23:51 +0530] "GET /test/Login.jsp HTTP/1.1" 200 3840
0:0:0:0:0:0:0:1 - - [14/Apr/2015:15:23:51 +0530] "GET /test/css/bootstrap.min.css HTTP/1.1" 304 -
